inbcoef;MD1;MD2;MD3;MD4;MD5;MD6;MD7;MD8;MD9;MD10;MD11;MP1;MP2;MP3;MP4;MP5;MP6;MP7
0.0003;-0.09857;0.32198;0.07095;0.34127;0.12841;0.58421;0.18397;0.0077;0.24857;-0.03937;-0.24738;-0.13143;-0.46937;-0.22833;0.06177;-0.36586;-0.19437;-0.30147
0.0766;-0.08712;-0.1875;-0.01894;-0.09185;-0.19877;-0.15814;-0.34924;0.07936;-0.13069;-0.11723;-0.26364;-0.06814;-0.20715;-0.14629;-0.11288;-0.14777;-0.10695;-0.03808
0.0253;-0.09857;-0.24802;-0.11905;-0.17873;-0.10307;-0.41579;0.02397;-0.1423;-0.17143;-0.23937;-0.38738;-0.30143;-0.02937;-0.64333;-0.28823;-0.27586;-0.49381;-0.48591
0.0394;-0.08712;-0.16478;0.17803;-0.11458;0.33532;-0.15814;0.17348;-0.09186;0.15719;0.01913;0.19091;-0.13632;0.17921;-0.05538;-0.24924;-0.01898;-0.12968;-0.08808
0.0375;-0.05857;-0.01802;0.19095;0.14127;0.23693;0.26421;-0.27603;-0.0323;0.08357;0.18063;-0.00738;0.23857;0.11063;0.13667;-0.13823;0.14914;0.28563;0.30297
0.1006;-0.01894;0.00189;-0.10985;-0.06913;0.04745;0.05398;-0.41743;0.12481;-0.34281;-0.11723;-0.18031;-0.09087;0.14133;-0.10084;-0.18106;0.05678;-0.03877;-0.01308
0.1234;0.08476;-0.05358;-0.00238;-0.10095;-0.16974;-0.3269;-0.45381;-0.01452;-0.1381;-0.00048;0.07929;-0.0681;0.17063;0.26778;-0.09934;-0.21872;0.05063;0.02103
0.0013;-0.08712;-0.15568;-0.25379;0.10815;-0.35255;-0.01269;-0.27652;0.00208;0.04356;-0.11723;-0.33182;-0.06225;0.09952;-0.07296;-0.12197;0.05678;-0.1115;-0.03808
0.1064;0.00379;0.08068;-0.01288;-0.02367;0.07017;-0.12178;-0.0447;-0.07064;-0.15644;-0.08087;0.06818;-0.02521;0.27063;-0.08629;0.05985;0.02849;-0.03423;-0.06808
0.2177;-0.0319;-0.03135;-0.30238;-0.2454;-0.3364;-0.34912;-0.17603;-0.02563;0.09524;-0.0727;0.21262;0.1319;0.17063;0.07889;0.09881;0.19081;-0.21604;0.07758
0.1391;0.20833;0.3125;0.38257;0.18087;0.23684;0.54641;0.53721;-0.01155;0.29356;0.36004;0.37272;0.32664;-0.37382;0.65371;0.54621;0.10812;0.62032;0.29734
0.1145;0.20143;-0.04802;0.10595;0.12127;0.17193;0.40921;0.17397;0.14103;-0.17143;0.16063;0.21262;0.09857;-0.02381;0.18167;0.35344;0.16303;0.33952;0.27103
0.0076;0.0644;0.03219;-0.17046;-0.03882;-0.14952;0.00853;0.02197;-0.03428;0.16477;-0.10208;0.06212;0.02429;0.06558;-0.08568;-0.03712;-0.02504;-0.11453;-0.05475
0.1559;0.00379;0.08068;0.0053;0.04906;0.01108;-0.15814;0.3553;0.00208;-0.02917;0.1555;0.08182;0.03186;-0.17533;-0.10629;0.09621;-0.05837;-0.08468;0.00283
0.2539;0.00143;0.07698;0.05595;-0.07873;0.07193;-0.16579;0.52397;0.06603;0.05357;0.01063;0.13762;0.0319;0.07063;0.20667;0.01177;0.35747;0.22841;0.11478
